,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
104,11199,3,16.0,9,9.0,8,2.0,64,4,33,1,3,4000,83.5,158.3,7.529999999999999,190.0,0
105,13261,0,16.0,9,9.0,8,2.0,128,6,33,1,3,4000,83.5,158.3,7.529999999999999,190.0,0
106,10978,0,16.0,9,9.0,8,2.0,32,3,33,1,3,4000,83.5,158.3,7.529999999999999,190.0,0
107,12999,0,15.46,5,9.0,8,2.0,64,4,35,10,3,4030,71.85,153.48,8.475,173.8,7
108,12999,3,15.46,5,9.0,8,2.0,64,4,35,10,3,4030,71.85,153.48,8.475,173.8,7
109,11280,0,16.0,9,9.0,8,2.0,64,4,33,1,3,4000,83.5,158.3,7.529999999999999,190.0,0
110,10100,1,16.0,9,9.0,8,2.0,64,4,33,1,3,4000,83.5,158.3,7.529999999999999,190.0,0
111,7450,3,15.8,3,9.0,8,2.0,32,3,10,13,3,5000,90.0,175.0,9.2,186.0,0
112,12999,1,16.0,11,9.0,8,2.0,64,6,31,1,3,4000,75.21,159.21,8.1,186.0,0
113,29999,2,16.23,11,9.0,8,2.84,256,8,28,5,3,4000,74.3,156.7,8.8,191.0,0
114,12999,3,16.94,12,10.0,8,2.3,64,4,39,3,3,5020,76.68,165.75,8.8,209.0,0
115,12999,1,16.94,12,10.0,8,2.3,64,4,39,3,3,5020,76.68,165.75,8.8,209.0,0
116,7499,0,15.8,3,9.0,8,2.0,32,3,10,13,3,5000,90.0,175.0,9.2,186.0,0
117,11999,1,15.9,9,8.1,8,1.8,64,6,5,4,3,4000,76.4,157.9,8.26,181.0,0
118,11999,2,15.9,9,8.1,8,1.8,64,6,5,4,3,4000,76.4,157.9,8.26,181.0,0
119,12999,1,13.97,7,6.0,8,2.0,64,4,15,12,3,4100,76.0,151.0,8.4,165.0,0
120,11999,4,15.9,9,8.1,8,1.8,64,6,5,4,3,4000,76.4,157.9,8.26,181.0,0
121,21999,0,16.23,11,9.0,8,2.2,64,6,28,5,3,4000,74.3,156.7,8.8,191.0,0
122,12999,4,15.21,8,7.1,8,1.8,64,4,5,5,3,4000,75.35,158.58,8.05,181.0,0
123,13999,3,16.0,11,9.0,8,2.0,128,6,31,1,1,4000,75.21,159.21,8.1,186.0,0
124,16999,1,16.94,12,10.0,8,2.3,128,6,45,10,3,5020,76.68,165.5,8.8,209.0,0
